school_name,Type,Grades,Location in Hamilton,year,enrolment,capacity,utilization_rate,portables,Site Acres,Building Gross (Ft2),gym,gym with stage,Number of gyms,Computer lab,Childcare Centre on site,auditorium,rec_centre,pool,Library,Cafeteria , Document 
Queensdale,Elementary,(JK-6),Central Mountain,2022,181,279,0.65,0,4.72,"30,198",Yes,Yes,1,Yes,Yes,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Ridgemount,Elementary,(JK-5),Central Mountain,2012,260,250,1.04,4,6.42,"25,563",Yes,Yes,1,No,Yes,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Ridgemount,Elementary,(JK-5),Central Mountain,2017,234,250,0.93,4,6.42,"25,563",Yes,Yes,1,No,Yes,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Ridgemount,Elementary,(JK-5),Central Mountain,2022,259,250,1.04,4,6.42,"25,563",Yes,Yes,1,No,Yes,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Bell-Stone,Elementary,(JK-6),West Glanbrook,2012,61,181,0.34,0,11.25,"15,541",,,,,,,,,,,"Board-Report-re-Elementary-ARCs.pdf, Closed in 2015 (refer to 'Properties sold since 1998É pdf')"
Bell-Stone,Elementary,(JK-6),West Glanbrook,2017,62,181,0.34,0,11.25,"15,541",,,,,,,,,,,Board-Report-re-Elementary-ARCs.pdf
Bell-Stone,Elementary,(JK-6),West Glanbrook,2022,63,181,0.35,0,11.25,"15,541",,,,,,,,,,,Board-Report-re-Elementary-ARCs.pdf
Mount Hope,Elementary,(JK-8),West Glanbrook,2012,290,365,0.79,0,8.71,"35,088",,,,,,,,,,,Board-Report-re-Elementary-ARCs.pdf
Mount Hope,Elementary,(JK-8),West Glanbrook,2017,316,365,0.87,0,8.71,"35,088",,,,,,,,,,,Board-Report-re-Elementary-ARCs.pdf
Mount Hope,Elementary,(JK-8),West Glanbrook,2022,331,365,0.91,0,8.71,"35,088",,,,,,,,,,,Board-Report-re-Elementary-ARCs.pdf
Dalewood,Middle,(6-8),Dalewood,2011,377,392,0.96,2,4.99,"59,050",Yes,No,1,Yes,N/A,Yes,Yes,Yes,Yes,No,"Dalewood.pdf, site-information-dalewood.pdf, Dalewood-Area-SIP.pdf"
Prince Philip,Elementary,(JK-5),Dalewood,2011,183,233,0.79,1 (4-classroom portapack),5.41,"32,098",Yes,Yes,1,Yes,N/A,No,No,No,Yes,No,"Prince Philip.pdf, site-information-Prince Philip.pdf, Dalewood-Area-SIP.pdf"
G.R. Allan,Elementary,(JK-5),Dalewood,2011,459,498,0.92,1 (Outdoor Ed),4,"48,703",Yes,Yes,1,Yes,N/A,No,No,No,Yes,No,"G.R.Allan.pdf, site-information-G.R.Allan.pdf, Dalewood-Area-SIP.pdf"
King George,Elementary,(JK-8),King George,2011,257,443,0.58,0,3.68,"51,726",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"KingGeorge_Apr20_2011.pdf, Site-Info-Sheet-KingGeorge.pdf"
Prince of Wales,Elementary,(JK-8),King George,2011,521,746,0.7,0,2.85,"75,587",Yes,Yes,1,Yes,No,No,No,No,Yes,No,"KingGeorge_Apr20_2011.pdf, Site-Info-Sheet-PriceOfWhales.pdf"
Memorial (Hamilton),Elementary,(JK-8),King George,2011,478,634,0.75,0,5.33,"100,913",Yes,No,1,Yes,No,Yes,No,No,Yes,No,"KingGeorge_Apr20_2011.pdf, Site-Info-Sheet-Memorial.pdf"
Delta,Secondary,(9-12),North,2011,806,1431,0.56,0,6.19,"227,636",Yes,No,2,Yes,Yes,Yes,No,No,Yes,Yes,"SIP-North.pdf, Site-Info-Sheet-Delta.pdf"
